time,x,y,amp,phase
1982-12-02,0.1689957,-2.012376,2.0194595,3.0
1982-12-03,-0.4770004,-1.5837264,1.6540009,3.0
1982-12-04,-0.92807853,-0.96341926,1.3377243,4.0
1982-12-05,-1.1443774,-0.30832776,1.1851858,5.0
1982-12-06,-1.1416624,0.23634811,1.1658702,5.0
1982-12-07,-0.98065495,0.5704332,1.1344947,6.0
1982-12-17,0.2799906,1.2605373,1.2912587,7.0
1982-12-18,0.77079684,1.4665453,1.6567689,8.0
1982-12-19,1.2958915,1.4314721,1.9309187,8.0
1982-12-20,1.7624019,1.1311837,2.0941913,8.0
1982-12-21,2.0794816,0.60094327,2.164573,1.0
1982-12-22,2.1786854,-0.07294699,2.1799064,1.0
1982-12-23,2.0289502,-0.7737821,2.171492,1.0
1982-12-24,1.6426735,-1.3818588,2.1466043,2.0
1982-12-25,1.071713,-1.8015392,2.0962138,2.0
1982-12-26,0.39471668,-1.9811337,2.0200722,3.0
1982-12-27,-0.30065203,-1.9208243,1.9442112,3.0
1982-12-28,-0.935871,-1.6671057,1.9118305,4.0
1982-12-29,-1.4554845,-1.2958771,1.9487772,4.0
1982-12-30,-1.8335471,-0.889359,2.0378554,4.0
1982-12-31,-2.0715587,-0.5136113,2.1342802,5.0
1983-01-01,-2.1893344,-0.20313245,2.1987379,5.0
1983-01-02,-2.212272,0.04314881,2.2126927,5.0
1983-01-03,-2.1594446,0.2536599,2.1742916,5.0
1983-01-04,-2.0365574,0.46673024,2.0893548,5.0
1983-01-05,-1.8361325,0.7098993,1.9685882,5.0
1983-01-06,-1.5447981,0.9832613,1.8311756,6.0
1983-01-07,-1.1550107,1.2530993,1.7042029,6.0
1983-01-08,-0.67675495,1.4589347,1.6082561,6.0
1983-01-09,-0.14438185,1.5327086,1.539494,7.0
1983-01-10,0.3849784,1.4244359,1.4755425,7.0
1983-01-11,0.84234905,1.1257994,1.4060498,8.0
1983-01-12,1.1648388,0.6828792,1.3502494,8.0
1983-01-13,1.3153911,0.19189541,1.3293147,1.0
1983-01-14,1.297768,-0.22306845,1.3167996,1.0
1983-01-15,1.1608678,-0.44537315,1.2433709,1.0
1983-01-16,0.9892505,-0.40411505,1.0686091,1.0
1983-01-19,1.1375049,0.8620201,1.4272337,8.0
1983-01-20,1.5149815,1.1904756,1.9267591,8.0
1983-01-21,1.9621676,1.2003602,2.30021,8.0
1983-01-22,2.3464913,0.81304556,2.4833574,1.0
1983-01-23,2.5253782,0.059132323,2.5260704,1.0
1983-01-24,2.3874533,-0.91929454,2.5583267,1.0
1983-01-25,1.8885671,-1.8999519,2.6788995,2.0
1983-01-26,1.0713243,-2.638245,2.847468,3.0
1983-01-27,0.061009787,-2.935985,2.9366188,3.0
1983-01-28,-0.96248245,-2.7007222,2.867102,3.0
1983-01-29,-1.8098265,-1.9771562,2.680414,4.0
1983-01-30,-2.332092,-0.93970686,2.5142996,5.0
1983-01-31,-2.4607773,0.15319811,2.4655414,5.0
1983-02-01,-2.2259693,1.0307509,2.453036,6.0
1983-02-02,-1.7467587,1.4865128,2.293662,6.0
1983-02-03,-1.1962366,1.4373137,1.8699872,6.0
1983-02-04,-0.7511071,0.94627315,1.2081369,6.0
1983-02-07,-0.9118029,-1.019387,1.3676748,4.0
1983-02-08,-1.3168827,-1.0816301,1.7041432,4.0
1983-02-09,-1.6610664,-0.6856583,1.7970167,5.0
1983-02-10,-1.7918499,0.067250445,1.7931113,5.0
1983-02-11,-1.614481,0.9712728,1.8841231,6.0
1983-02-12,-1.1190326,1.7794161,2.102036,6.0
1983-02-13,-0.3818491,2.2764199,2.3082235,7.0
1983-02-14,0.45788217,2.3385894,2.3829932,7.0
1983-02-15,1.2381316,1.9630505,2.3208914,8.0
1983-02-16,1.8177207,1.2594273,2.2113945,8.0
1983-02-17,2.1105583,0.4092519,2.1498706,1.0
1983-02-18,2.1012163,-0.3916418,2.1374035,1.0
1983-02-19,1.8392614,-0.98815113,2.0878997,2.0
1983-02-20,1.4167073,-1.3012584,1.923625,2.0
1983-02-21,0.9378575,-1.334736,1.6312869,2.0
1983-02-22,0.49211285,-1.1549073,1.2553828,2.0
1983-12-01,-0.16451912,-1.1046568,1.1168407,3.0
1983-12-02,-0.5728173,-1.0937325,1.234654,4.0
1983-12-03,-0.92216617,-0.7685252,1.2004255,4.0
1983-12-04,-1.1051878,-0.18833788,1.1211205,5.0
1983-12-05,-1.052631,0.50064856,1.1656247,6.0
1983-12-06,-0.75838,1.1083167,1.3429468,6.0
1983-12-07,-0.28488126,1.4610504,1.488565,7.0
1983-12-08,0.25371453,1.4585757,1.4804777,7.0
1983-12-09,0.7254989,1.1068728,1.3234485,8.0
1983-12-10,1.0204642,0.5152377,1.1431609,8.0
1983-12-11,1.0824128,-0.14146475,1.091618,1.0
1983-12-12,0.92246914,-0.6816272,1.1469808,2.0
1983-12-13,0.6102381,-0.9754924,1.1506416,2.0
1983-12-14,0.2467289,-0.98259526,1.0130985,3.0
1983-12-24,0.5786115,0.89757764,1.0679123,8.0
1983-12-25,0.9266421,1.02927,1.3849413,8.0
1983-12-26,1.2916044,0.93136543,1.592383,8.0
1983-12-27,1.5718148,0.5136332,1.6536084,1.0
1983-12-28,1.6474068,-0.21868877,1.6618586,1.0
1983-12-29,1.4203254,-1.1444805,1.8240504,2.0
1983-12-30,0.85460573,-2.0475664,2.2187562,2.0
1983-12-31,0.0019413448,-2.6748855,2.6748862,3.0
1984-01-01,-0.9983329,-2.8140175,2.9858606,3.0
1984-01-02,-1.9473765,-2.3641205,3.0628974,4.0
1984-01-03,-2.6359994,-1.3756194,2.973352,4.0
1984-01-04,-2.9002914,-0.04416113,2.9006276,5.0
1984-01-05,-2.6665905,1.3401871,2.9844272,6.0
1984-01-06,-1.9719211,2.4723487,3.1624327,6.0
1984-01-07,-0.95395255,3.1146924,3.2575045,7.0
1984-01-08,0.18567951,3.1565504,3.162007,7.0
1984-01-09,1.2326436,2.6334126,2.907623,8.0
1984-01-10,2.0098891,1.7026639,2.6341448,8.0
1984-01-11,2.4121077,0.58732563,2.4825823,1.0
1984-01-12,2.4167397,-0.4910022,2.466113,1.0
1984-01-13,2.0719821,-1.3672149,2.4824154,2.0
1984-01-14,1.4696466,-1.9596812,2.4495327,2.0
1984-01-15,0.7144778,-2.2649157,2.374936,3.0
1984-01-16,-0.099299,-2.3280907,2.3302073,3.0
1984-01-17,-0.89823025,-2.2055755,2.3814662,3.0
1984-01-18,-1.6271386,-1.9365768,2.529409,4.0
1984-01-19,-2.23973,-1.5348456,2.7151687,4.0
1984-01-20,-2.6903524,-1.0011791,2.870602,5.0
1984-01-21,-2.9332638,-0.34759176,2.9537868,5.0
1984-01-22,-2.9311352,0.381287,2.9558306,5.0
1984-01-23,-2.6691396,1.1026121,2.887916,5.0
1984-01-24,-2.167337,1.7110858,2.76137,6.0
1984-01-25,-1.4838415,2.1113746,2.5806372,6.0
1984-01-26,-0.7047518,2.2538795,2.3614929,7.0
1984-01-27,0.07745927,2.1574986,2.1588888,7.0
1984-01-28,0.78978425,1.9070915,2.06416,7.0
1984-01-29,1.3985339,1.6232492,2.1426234,8.0
1984-01-30,1.9142365,1.413796,2.3797312,8.0
1984-01-31,2.3778944,1.3253704,2.7223132,8.0
1984-02-01,2.832343,1.3155088,3.1229362,8.0
1984-02-02,3.2891698,1.2595017,3.522071,1.0
1984-02-03,3.7048213,0.993779,3.8357916,1.0
1984-02-04,3.9775774,0.38319772,3.9959934,1.0
1984-02-05,3.970269,-0.61117613,4.017035,1.0
1984-02-06,3.5542052,-1.8899148,4.0254383,2.0
1984-02-07,2.6610928,-3.2179205,4.175695,2.0
1984-02-08,1.325097,-4.276596,4.477182,3.0
1984-02-09,-0.30137795,-4.752757,4.762303,3.0
1984-02-10,-1.9672186,-4.4375577,4.854057,4.0
1984-02-11,-3.3753498,-3.303234,4.7227473,4.0
1984-02-12,-4.255425,-1.5308422,4.522402,5.0
1984-02-13,-4.43579,0.523112,4.466529,5.0
1984-02-14,-3.8930566,2.4139369,4.5807185,6.0
1984-02-15,-2.763615,3.7252629,4.6384425,6.0
1984-02-16,-1.3125036,4.1804066,4.381605,7.0
1984-02-17,0.13222374,3.7154636,3.7178156,7.0
1984-02-18,1.2612611,2.4927807,2.7936957,8.0
1984-02-19,1.8590153,0.85180753,2.0448751,8.0
1984-02-20,1.8513227,-0.78677535,2.0115693,2.0
1984-02-21,1.3140026,-2.034405,2.4218602,2.0
1984-02-22,0.44205585,-2.6323993,2.6692584,3.0
1984-02-23,-0.50950515,-2.5075545,2.5587938,3.0
1984-02-24,-1.2949699,-1.7731587,2.1956863,4.0
1984-02-25,-1.7378023,-0.6798989,1.8660706,5.0
1984-02-26,-1.7659475,0.46469346,1.8260641,5.0
1984-02-27,-1.4159013,1.3823678,1.9788171,6.0
1984-02-28,-0.8083578,1.8912073,2.0567224,6.0
1984-02-29,-0.1058298,1.9374658,1.940354,7.0
1984-12-04,1.0525712,0.46489036,1.1506647,8.0
1984-12-05,1.1971248,0.20749214,1.2149736,1.0
1984-12-06,1.1963046,-0.3241479,1.239442,1.0
1984-12-07,0.97258204,-0.99223304,1.3894036,2.0
1984-12-08,0.5089678,-1.6149355,1.693241,3.0
1984-12-09,-0.14611128,-2.0265899,2.03185,3.0
1984-12-10,-0.8948854,-2.1281931,2.3086848,4.0
1984-12-11,-1.6203469,-1.9118099,2.506101,4.0
1984-12-12,-2.2192287,-1.452727,2.6524312,4.0
1984-12-13,-2.6266756,-0.8749127,2.768555,5.0
1984-12-14,-2.8252957,-0.3042582,2.8416312,5.0
1984-12-15,-2.8374405,0.1727483,2.8426943,5.0
1984-12-16,-2.7056298,0.53058606,2.7571642,5.0
1984-12-17,-2.4698944,0.800374,2.5963392,5.0
1984-12-18,-2.1511972,1.0433664,2.3908708,6.0
1984-12-19,-1.7471367,1.3138596,2.1860268,6.0
1984-12-20,-1.2410644,1.6263967,2.0458267,6.0
1984-12-21,-0.6205042,1.9399694,2.0367882,7.0
1984-12-22,0.1027854,2.1653762,2.1678143,7.0
1984-12-23,0.87948877,2.19351,2.3632576,7.0
1984-12-24,1.6222671,1.9350513,2.5251088,8.0
1984-12-25,2.2199318,1.3581853,2.6024535,8.0
1984-12-26,2.5631053,0.51156616,2.6136582,1.0
1984-12-27,2.5743022,-0.47565836,2.6178775,1.0
1984-12-28,2.2336085,-1.4180217,2.6457121,2.0
1984-12-29,1.5920146,-2.1163058,2.6482563,2.0
1984-12-30,0.76760757,-2.407472,2.5268838,3.0
1984-12-31,-0.07568211,-2.2087963,2.2100925,3.0
1985-01-01,-0.7624633,-1.5443716,1.7223339,4.0
1985-01-02,-1.1454946,-0.5463602,1.2691207,4.0
1985-01-03,-1.1409363,0.5705554,1.2756445,6.0
1985-01-04,-0.7502611,1.5565915,1.7279667,6.0
1985-01-05,-0.062658794,2.185636,2.186534,7.0
1985-01-06,0.76376617,2.311426,2.4343436,7.0
1985-01-07,1.5385053,1.9067838,2.4500659,8.0
